Wall time,Step,Value
1609736644.81777,200,-211.27967834472656
1609736664.8819551,400,-193.3642120361328
1609736685.711023,600,-183.38571166992188
1609736705.468321,800,-195.97891235351562
1609736724.9585047,1000,-200.26719665527344
1609736746.1468503,1200,-199.7880096435547
1609736766.8724697,1400,-196.93228149414062
1609736785.7890406,1600,-193.57879638671875
1609736806.1065013,1800,-189.50643920898438
1609736827.0312674,2000,-190.2600555419922
1609736846.1752615,2200,-187.534423828125
1609736864.375694,2400,-185.15757751464844
1609736882.5557213,2600,-182.90359497070312
1609736900.5893571,2800,-180.4258575439453
1609736919.7621129,3000,-179.4095458984375
1609736938.5769172,3200,-178.0486297607422
1609736957.3950243,3400,-176.08033752441406
1609736974.7255387,3600,-173.8574981689453
1609736993.4451206,3800,-173.18521118164062
1609737010.3844385,4000,-171.48709106445312
1609737028.103746,4200,-170.06985473632812
1609737045.2172241,4400,-168.67445373535156
1609737063.4427757,4600,-167.82618713378906
1609737081.0016077,4800,-166.9061279296875
1609737099.3934715,5000,-166.34698486328125
1609737116.7648785,5200,-166.05587768554688
1609737133.8322678,5400,-165.2703399658203
1609737152.0503864,5600,-164.77955627441406
1609737169.795232,5800,-164.0325164794922
1609737187.192617,6000,-163.74388122558594
1609737205.0922596,6200,-163.25115966796875
1609737223.2559054,6400,-163.00381469726562
1609737240.9376292,6600,-162.5284881591797
1609737258.0066164,6800,-161.71554565429688
1609737275.4952538,7000,-160.92234802246094
1609737293.017573,7200,-160.3787841796875
1609737311.3291037,7400,-160.56491088867188
1609737330.623706,7600,-161.19667053222656
1609737349.647215,7800,-161.41957092285156
1609737368.6795702,8000,-161.22674560546875
1609737386.8180292,8200,-159.96888732910156
1609737404.6727037,8400,-159.36849975585938
1609737423.205522,8600,-159.31771850585938
1609737439.2519493,8800,-158.13929748535156
1609737457.650933,9000,-158.4755401611328
1609737475.1117349,9200,-158.2804412841797
1609737492.7222435,9400,-157.60406494140625
1609737513.104904,9600,-158.08216857910156
1609737530.3501933,9800,-158.639404296875
1609737548.1963632,10000,-158.6457061767578
1609737566.643695,10200,-159.25816345214844
1609737583.6398606,10400,-158.91099548339844
1609737599.6892276,10600,-158.22853088378906
1609737618.2355833,10800,-158.2801971435547
1609737636.1029334,11000,-158.2384490966797
1609737651.9260502,11200,-157.590576171875
1609737669.859447,11400,-157.22296142578125
1609737687.684582,11600,-156.7668914794922
1609737707.4333224,11800,-156.29200744628906
1609737725.245224,12000,-156.0892333984375
1609737742.3898692,12200,-155.7473907470703
1609737757.9376526,12400,-154.67791748046875
1609737773.590414,12600,-153.93939208984375
1609737789.075162,12800,-152.90792846679688
1609737804.3625128,13000,-151.95079040527344
1609737819.0874045,13200,-150.9901123046875
1609737833.6473215,13400,-149.84580993652344
1609737847.341108,13600,-148.56173706054688
1609737861.9523304,13800,-147.43101501464844
1609737877.0636082,14000,-146.44049072265625
1609737892.3725822,14200,-145.39678955078125
1609737907.7061863,14400,-144.5872344970703
1609737922.4502208,14600,-143.66323852539062
1609737937.1959686,14800,-142.7274169921875
1609737950.3979006,15000,-141.5528106689453
1609737964.9676776,15200,-140.5518035888672
1609737979.3232281,15400,-139.5331573486328
1609737992.4005058,15600,-138.337646484375
1609738006.886661,15800,-137.38674926757812
1609738020.1300912,16000,-136.29583740234375
1609738033.4957771,16200,-135.1442413330078
1609738047.0881093,16400,-134.19985961914062
1609738060.4823022,16600,-133.1516876220703
1609738073.8541532,16800,-132.20277404785156
1609738087.451775,17000,-131.19061279296875
1609738101.4965656,17200,-130.36585998535156
1609738115.4461408,17400,-129.53192138671875
1609738128.5959105,17600,-128.6256561279297
1609738140.824778,17800,-127.57170104980469
1609738154.231636,18000,-126.66038513183594
1609738167.4188027,18200,-125.72309875488281
1609738180.509943,18400,-124.86730194091797
1609738193.9206579,18600,-124.05778503417969
1609738207.8035426,18800,-123.16571044921875
1609738220.6156156,19000,-122.31884765625
1609738233.3718047,19200,-121.43855285644531
1609738247.4086425,19400,-120.75285339355469
1609738260.013927,19600,-119.87645721435547
1609738273.1430395,19800,-119.0701675415039
1609738286.679116,20000,-118.35354614257812
1609738300.069535,20200,-116.63396453857422
1609738313.198992,20400,-115.27656555175781
1609738326.9666708,20600,-114.14884185791016
1609738339.2415419,20800,-112.14556884765625
1609738352.0347207,21000,-110.33247375488281
1609738364.692029,21200,-108.72054290771484
1609738377.0173442,21400,-107.25668334960938
1609738390.2540207,21600,-105.95689392089844
1609738404.405942,21800,-104.88644409179688
1609738417.0189724,22000,-103.27947235107422
1609738429.5822287,22200,-102.02198791503906
1609738442.6423864,22400,-100.77320861816406
1609738456.328733,22600,-99.63347625732422
1609738469.4507546,22800,-98.53520965576172
1609738481.770242,23000,-97.20550537109375
1609738494.2458992,23200,-95.9842300415039
1609738507.1693776,23400,-94.90380096435547
1609738519.4737663,23600,-93.89741516113281
1609738532.3793597,23800,-92.71318054199219
1609738544.303919,24000,-91.6036605834961
1609738556.527975,24200,-90.49864196777344
1609738570.4295177,24400,-89.5653305053711
1609738583.9944797,24600,-88.5274429321289
1609738597.5874083,24800,-87.50202178955078
1609738610.2718866,25000,-86.31694030761719
1609738623.1854672,25200,-85.10204315185547
1609738635.7151685,25400,-83.97666931152344
1609738648.5486236,25600,-82.85658264160156
1609738661.5756388,25800,-81.79588317871094
1609738674.158902,26000,-80.57942199707031
1609738687.0137534,26200,-79.46147155761719
1609738699.3012226,26400,-78.21851348876953
1609738712.818413,26600,-77.15579986572266
1609738725.2136657,26800,-76.10511016845703
1609738738.0067952,27000,-75.114501953125
1609738751.1829672,27200,-74.08344268798828
1609738763.504453,27400,-72.72772216796875
1609738776.4596746,27600,-71.22956085205078
1609738788.5033119,27800,-69.80293273925781
1609738801.034883,28000,-68.6164779663086
1609738814.0859573,28200,-67.88272094726562
1609738826.873514,28400,-66.89093017578125
1609738839.9608672,28600,-65.69290924072266
1609738853.1244843,28800,-64.96347045898438
1609738865.6944778,29000,-63.56626892089844
1609738877.8286324,29200,-62.37329864501953
1609738889.6315768,29400,-61.365718841552734
1609738901.5617175,29600,-59.80544662475586
1609738914.311371,29800,-58.30702590942383
1609738926.9048386,30000,-57.01530075073242
1609738939.6336262,30200,-55.4178581237793
1609738951.9525495,30400,-54.29859161376953
1609738964.6573324,30600,-53.4202766418457
1609738976.589743,30800,-52.081703186035156
1609738989.7039478,31000,-50.88215637207031
1609739002.7172446,31200,-50.01942825317383
1609739015.0313244,31400,-48.9555549621582
1609739026.6724591,31600,-47.898563385009766
1609739039.6676817,31800,-46.99679946899414
1609739052.6752179,32000,-45.8677978515625
1609739065.5454268,32200,-44.874359130859375
1609739079.1983132,32400,-44.3931999206543
1609739091.8272672,32600,-43.6439208984375
1609739105.5049229,32800,-43.176753997802734
1609739117.4081628,33000,-42.53789520263672
1609739129.8803804,33200,-41.98081970214844
1609739142.1187665,33400,-41.52458190917969
1609739154.496142,33600,-41.165245056152344
1609739167.7065456,33800,-40.79678726196289
1609739180.2205822,34000,-40.2969970703125
1609739193.0518227,34200,-39.92776107788086
1609739206.0101566,34400,-39.41188049316406
1609739218.5516953,34600,-38.943115234375
1609739231.6977108,34800,-38.565765380859375
1609739244.465519,35000,-38.37542724609375
1609739257.0710766,35200,-38.035865783691406
1609739269.3447487,35400,-37.72962951660156
1609739281.4623675,35600,-37.546142578125
1609739293.7929835,35800,-37.17170333862305
1609739307.9391222,36000,-37.022987365722656
1609739323.2424982,36200,-36.97781753540039
1609739338.6689553,36400,-36.8405876159668
1609739351.8792646,36600,-36.61246109008789
1609739366.1502361,36800,-36.41935729980469
1609739379.9997387,37000,-36.25196838378906
1609739394.8612776,37200,-35.9947395324707
1609739409.2940655,37400,-35.811790466308594
1609739421.204398,37600,-35.56917953491211
1609739434.1878142,37800,-35.60191345214844
1609739447.1312165,38000,-35.49753952026367
1609739459.0278342,38200,-35.38167953491211
1609739472.0599394,38400,-35.25071716308594
1609739484.0222602,38600,-35.02260208129883
1609739497.2635229,38800,-34.969017028808594
1609739509.576419,39000,-34.84159851074219
1609739522.9865305,39200,-34.8445930480957
1609739535.6586986,39400,-34.56339645385742
1609739546.86162,39600,-34.48817443847656
1609739558.561219,39800,-34.46721267700195
1609739570.288769,40000,-34.38335037231445
