Wall time,Step,Value
1602519422.2436776,6,-116.8603286743164
1602519447.6267664,7,-106.7706069946289
1602519548.9169493,11,-103.94540405273438
1602519571.8984187,12,-105.02548217773438
1602519621.2742586,14,-119.31389617919922
1602519646.565907,15,-125.73896789550781
1602519669.5715199,16,-100.83538055419922
1602519717.6089454,18,-112.65458679199219
1602519740.3019488,19,-102.04239654541016
1602519763.9465103,20,-111.28886413574219
1602519787.5369408,21,-95.89910125732422
1602519880.0786784,25,-122.58683013916016
1602520096.9726918,34,-164.38294982910156
1602520121.917161,35,-145.03591918945312
1602520172.4457874,37,-172.13629150390625
1602520251.3886068,40,-214.31056213378906
1602520279.3795447,41,-209.9763641357422
1602520325.7194076,43,-188.98953247070312
1602520367.6461594,45,-151.0548553466797
1602520387.7607822,46,-143.99441528320312
1602520434.5883996,48,-163.6778564453125
1602520483.2118256,50,-158.33480834960938
1602520509.5816572,51,-186.11000061035156
1602520581.042924,54,-192.95921325683594
1602520605.6932626,55,-201.70843505859375
1602520628.2614572,56,-164.3517608642578
1602520647.8608081,57,-138.63070678710938
1602520670.8612297,58,-193.7752227783203
1602520733.4358559,61,-138.44021606445312
1602520756.3099163,62,-190.09605407714844
1602520793.7619045,64,-138.4912567138672
1602520829.5061874,66,-124.8975830078125
1602520847.6826904,67,-124.8975830078125
1602520865.7364101,68,-124.9714126586914
1602520883.631674,69,-124.8975830078125
1602520943.0578175,72,-167.90472412109375
1602520961.2439542,73,-125.61714172363281
1602520983.7763784,74,-188.91912841796875
1602521001.6401503,75,-124.8975830078125
1602521041.9156172,77,-150.36927795410156
1602521095.9156168,80,-124.8975830078125
1602521198.300924,85,-186.2911834716797
1602521216.2984884,86,-125.35204315185547
1602521233.9930139,87,-125.35204315185547
1602521251.659708,88,-125.35204315185547
1602521269.4422462,89,-125.35204315185547
1602521287.4642675,90,-125.35204315185547
1602521392.5271864,95,-236.27737426757812
1602521544.2758482,103,-124.8975830078125
1602521597.9632213,106,-124.48184204101562
1602521615.9304118,107,-125.05961608886719
1602521743.0860627,114,-124.8975830078125
1602521797.1487112,117,-126.07940673828125
1602521832.7114184,119,-125.37156677246094
1602521850.7008622,120,-125.14608001708984
1602521870.857952,121,-124.8975830078125
1602521948.222523,125,-126.14683532714844
1602521966.0405605,126,-123.427734375
1602521986.795671,127,-152.1923065185547
1602522041.2003205,130,-126.90144348144531
1602522062.4428098,131,-141.40643310546875
1602522118.2957666,134,-124.92594146728516
1602522191.0322556,138,-124.33015441894531
1602522228.2200286,140,-124.88314056396484
1602522268.0643148,142,-137.9507293701172
1602522285.8869298,143,-125.28994750976562
1602522303.7083688,144,-124.849365234375
1602522321.2761571,145,-125.70475769042969
1602522393.3410587,149,-125.34869384765625
1602522431.3624222,151,-124.98272705078125
1602522484.510106,154,-125.56107330322266
1602522502.4892125,155,-125.56107330322266
1602522520.4622614,156,-125.4137191772461
1602522556.1844451,158,-124.8975830078125
1602522573.9040608,159,-124.8975830078125
1602522591.6474884,160,-124.95862579345703
1602522647.0753937,163,-125.56107330322266
1602522682.6572835,165,-124.98998260498047
1602522700.7385638,166,-125.37156677246094
1602522736.3842385,168,-125.37156677246094
1602522754.3631723,169,-125.37156677246094
1602522809.9453745,172,-125.07740783691406
1602522899.0103905,177,-125.10371398925781
1602522916.8951054,178,-125.10371398925781
1602522934.51727,179,-125.10371398925781
1602522971.8767521,181,-124.8975830078125
1602522989.8084912,182,-124.8975830078125
1602523025.4911475,184,-124.8975830078125
1602523060.7900484,186,-124.8975830078125
1602523078.1458652,187,-124.95862579345703
1602523096.0217109,188,-125.10371398925781
1602523114.007499,189,-125.10371398925781
1602523152.624012,191,-137.52581787109375
1602523170.3138523,192,-124.8975830078125
1602523296.327924,199,-125.35204315185547
1602523369.5975192,203,-124.8975830078125
1602523440.7621083,207,-125.81946563720703
1602523458.6482573,208,-125.81946563720703
1602523476.268631,209,-125.81946563720703
1602523549.6481206,213,-124.8975830078125
1602523602.5320485,216,-124.8975830078125
1602523655.6646326,219,-124.8975830078125
1602523673.4154143,220,-124.8975830078125
1602523728.8503761,223,-124.95985412597656
1602523746.7504947,224,-125.35204315185547
1602523782.2585173,226,-125.35204315185547
1602523800.1236749,227,-125.35204315185547
1602523817.8426712,228,-125.45303344726562
1602523853.1493652,230,-125.81946563720703
1602523872.927886,231,-124.8975830078125
1602523890.807043,232,-124.8975830078125
1602523908.5190313,233,-124.8975830078125
1602523929.266533,234,-165.14773559570312
1602523946.7731767,235,-124.8975830078125
1602524000.4415042,238,-124.8975830078125
1602524055.5771487,241,-124.8975830078125
1602524144.4421477,246,-124.8975830078125
1602524180.29375,248,-124.8975830078125
1602524215.8985653,250,-125.84296417236328
1602524235.8597064,251,-120.40159606933594
1602524342.2686472,256,-144.11383056640625
1602524408.9034348,259,-169.344970703125
1602524431.2345755,260,-168.09368896484375
1602524456.4933057,261,-179.4854278564453
1602524478.8615685,262,-163.7780303955078
1602524523.1078777,264,-163.53440856933594
1602524612.678262,268,-151.92398071289062
1602524661.7237318,270,-187.41856384277344
1602524706.592582,272,-143.57620239257812
1602524749.7629755,274,-155.18380737304688
1602524867.1475654,279,-192.92564392089844
1602524915.826384,281,-184.60971069335938
1602525002.8017685,285,-158.9456787109375
1602525123.6250966,290,-148.576416015625
1602525170.3909845,292,-111.49900817871094
1602525193.600434,293,-117.24610137939453
1602525262.790121,296,-121.83695983886719
1602525309.1936822,298,-110.6749038696289
1602525332.12916,299,-111.0069351196289
1602525354.9572852,300,-108.50475311279297
1602525403.5248973,302,-119.88106536865234
1602525425.5062537,303,-108.97469329833984
1602525449.392401,304,-116.14527893066406
1602525541.3534603,308,-102.26758575439453
1602525565.272263,309,-127.28739166259766
1602525610.3190985,311,-94.6543960571289
1602525677.9730098,314,-115.5626449584961
1602525774.8583555,318,-136.72657775878906
1602525798.8873515,319,-130.06011962890625
1602525822.5139134,320,-131.82992553710938
1602525847.6312242,321,-116.82594299316406
1602525893.1638157,323,-129.85302734375
1602525961.220849,326,-95.02140045166016
1602525982.6996036,327,-98.83466339111328
1602526005.6090329,328,-108.36022186279297
1602526074.4230025,331,-99.61608123779297
1602526096.448821,332,-101.71886444091797
1602526143.8420665,334,-117.73077392578125
1602526279.559528,340,-105.30315399169922
1602526325.1997194,342,-114.82169342041016
1602526391.7124968,345,-106.52672576904297
1602526413.4355636,346,-100.87296295166016
1602526456.7476668,348,-86.7890625
1602526480.2809355,349,-121.27094268798828
1602526589.6544843,354,-98.54286193847656
1602526611.1504824,355,-98.60572814941406
1602526657.677807,357,-115.08338165283203
1602526704.9762843,359,-131.02565002441406
1602526727.2160876,360,-105.86599731445312
1602526751.4871645,361,-113.00582885742188
1602526821.488363,364,-145.15313720703125
1602526844.666852,365,-118.25776672363281
1602526911.46355,368,-110.65309143066406
1602526933.919138,369,-113.5005874633789
1602526981.9917219,371,-118.30571746826172
1602527003.796736,372,-99.7503890991211
1602527049.7705703,374,-117.00462341308594
1602527140.5411034,378,-111.68524932861328
1602527163.3098018,379,-112.17646026611328
1602527185.1571653,380,-103.11573028564453
1602527230.63848,382,-105.18933868408203
1602527252.8323917,383,-130.43536376953125
1602527319.8601384,386,-126.4396743774414
1602527343.137053,387,-148.18817138671875
1602527363.3524854,388,-77.26705169677734
1602527385.2158253,389,-104.61540985107422
1602527432.4162424,391,-115.20947265625
1602527454.2200518,392,-95.31434631347656
1602527476.7212083,393,-109.66293334960938
1602527499.0686316,394,-110.75453186035156
1602527701.60455,403,-86.21080780029297
1602527723.9505394,404,-94.27450561523438
1602527767.936865,406,-104.2936782836914
1602527834.4847617,409,-87.82652282714844
1602527991.0108066,416,-110.92152404785156
1602528011.6283827,417,-83.15489959716797
1602528100.093862,421,-104.82550811767578
1602528120.5571184,422,-86.59803009033203
1602528143.3056664,423,-111.8548355102539
1602528186.7269113,425,-109.29724884033203
1602528228.9619493,427,-91.50495910644531
1602528316.1618662,431,-100.38992309570312
1602528510.74538,440,-86.44935607910156
1602528534.4675317,441,-121.19770050048828
1602528556.3755262,442,-103.3172836303711
1602528578.074233,443,-101.64405822753906
1602528623.4434674,445,-100.56402587890625
1602528644.8925111,446,-98.64790344238281
1602528710.492887,449,-92.72119140625
1602528775.8873644,452,-106.15697479248047
1602528926.0162642,459,-103.58499908447266
1602528947.006315,460,-96.05850219726562
1602528969.6841934,461,-91.8155517578125
1602528992.7407122,462,-118.71205139160156
1602529037.5935488,464,-93.93949890136719
1602529059.6086454,465,-93.76367950439453
1602529082.1292198,466,-105.84979248046875
1602529124.1511152,468,-92.03564453125
1602529145.4752767,469,-91.2125244140625
1602529165.265013,470,-79.1869888305664
1602529209.3219912,472,-92.07819366455078
1602529252.0624256,474,-78.1311264038086
1602529271.722031,475,-75.19413757324219
1602529355.2156703,479,-73.18389129638672
1602529502.6920273,486,-72.54975891113281
1602529564.8486817,489,-76.64401245117188
1602529586.7707605,490,-99.82670593261719
1602529628.586307,492,-77.86190795898438
1602529671.4158938,494,-77.63087463378906
1602529735.0779023,497,-100.21137237548828
1602529978.155643,508,-95.11861419677734
1602530043.0308628,511,-90.42974853515625
1602530064.0536664,512,-85.12804412841797
1602530084.2889209,513,-80.61263275146484
1602530127.2947907,515,-92.0076904296875
1602530169.3875058,517,-99.96939849853516
1602530188.4143221,518,-72.18767547607422
1602530229.6475642,520,-92.60115814208984
1602530334.975877,525,-88.99517822265625
1602530355.5803251,526,-80.52919006347656
1602530488.4151995,532,-114.0123291015625
1602530531.292311,534,-87.50420379638672
1602530551.8365612,535,-84.8989028930664
1602530573.3312438,536,-99.1011962890625
1602530595.9073021,537,-118.22366333007812
1602530619.0479617,538,-112.09459686279297
1602530641.5308895,539,-124.02497863769531
1602530664.4755058,540,-124.98255157470703
1602530689.2966437,541,-118.24420928955078
1602530711.4855707,542,-108.65086364746094
1602530732.252177,543,-91.43651580810547
1602530775.7159083,545,-105.82233428955078
1602530843.2805274,548,-113.54969024658203
1602530865.401398,549,-114.62198638916016
1602530886.9011931,550,-93.91355895996094
1602530932.1753142,552,-95.05172729492188
1602531018.3719556,556,-89.41890716552734
1602531065.0574868,558,-123.96955108642578
1602531108.045969,560,-99.79814147949219
1602531194.4202857,564,-93.12570190429688
1602531214.915701,565,-86.82649230957031
1602531236.6351278,566,-98.97666931152344
1602531277.101024,568,-64.71903228759766
1602531319.1161966,570,-105.80089569091797
1602531363.4763272,572,-95.01069641113281
1602531405.108187,574,-97.33822631835938
1602531425.5460944,575,-93.6524658203125
1602531489.3406818,578,-71.65656280517578
1602531532.2939832,580,-83.17156219482422
1602531554.197327,581,-84.30360412597656
1602531573.8792567,582,-80.96723175048828
1602531593.8191907,583,-88.73474884033203
1602531613.6165519,584,-79.79792785644531
1602531633.2848885,585,-72.70606231689453
1602531673.9109862,587,-96.1064682006836
1602531692.5564823,588,-69.04705047607422
1602531794.1520932,593,-93.1381607055664
1602531815.9238768,594,-94.1838150024414
1602531854.0025842,596,-57.754356384277344
1602531873.8124354,597,-71.18994140625
1602531893.880645,598,-76.38304901123047
1602531950.210591,601,-57.847476959228516
1602531989.8036551,603,-77.59204864501953
1602532028.859732,605,-76.1624526977539
1602532066.2915518,607,-70.37010955810547
1602532105.9071815,609,-80.05973815917969
1602532144.1186388,611,-56.31016159057617
1602532165.5338576,612,-94.2926025390625
1602532187.1937733,613,-106.08329010009766
1602532247.7915192,616,-73.23099517822266
1602532327.3996284,620,-69.14811706542969
1602532347.664379,621,-56.66390609741211
1602532387.7662995,623,-66.1146011352539
1602532408.4755938,624,-85.66532897949219
1602532450.0229068,626,-84.5050277709961
1602532532.0286574,630,-79.93828582763672
1602532631.1119413,635,-69.71340942382812
1602532767.7634366,642,-64.08615112304688
1602532789.4627767,643,-92.70075988769531
1602532828.876892,645,-80.85081481933594
1602532849.942052,646,-90.64960479736328
1602532869.6136198,647,-74.35826873779297
1602532888.3782306,648,-58.55805969238281
1602532906.7258642,649,-60.34694290161133
1602532926.6485655,650,-84.45001220703125
1602532965.4824505,652,-71.01740264892578
1602532985.9529796,653,-91.1473617553711
1602533064.785507,657,-72.9078598022461
1602533084.7508028,658,-73.64786529541016
1602533125.616695,660,-78.92476654052734
1602533171.5342934,662,-94.2430419921875
1602533231.2065043,665,-69.75398254394531
1602533267.8193855,667,-56.06682205200195
1602533286.9411972,668,-74.67151641845703
1602533307.3652587,669,-84.74787902832031
1602533369.8953564,672,-74.72840118408203
1602533389.0954325,673,-64.89452362060547
1602533407.7295167,674,-72.6572265625
1602533427.3891876,675,-75.325927734375
1602533447.3689022,676,-78.99510192871094
1602533486.6166217,678,-76.8517074584961
1602533506.9300451,679,-75.82844543457031
1602533527.4060175,680,-84.22198486328125
