Wall time,Step,Value
1608530074.4747658,1,-198.07254028320312
1608530088.4856644,2,-206.4424285888672
1608530102.5937858,3,-178.16799926757812
1608530116.2337074,4,-178.15235900878906
1608530130.2991545,5,-173.3115692138672
1608530144.6110222,6,-175.08078002929688
1608530159.0558233,7,-206.0798797607422
1608530173.1871214,8,-186.86647033691406
1608530187.7131634,9,-175.0355682373047
1608530201.711877,10,-159.2768096923828
1608530215.8284419,11,-166.0065460205078
1608530229.7121012,12,-159.59043884277344
1608530244.500309,13,-159.04432678222656
1608530258.90485,14,-162.100341796875
1608530272.8314915,15,-137.57968139648438
1608530286.9436047,16,-158.80958557128906
1608530299.8797784,17,-148.8182830810547
1608530313.4229033,18,-127.92019653320312
1608530328.1461408,19,-167.8794403076172
1608530341.7316232,20,-131.86026000976562
1608530356.7097838,21,-160.37615966796875
1608530370.8841166,22,-172.6149444580078
1608530384.9290872,23,-146.28103637695312
1608530398.9719276,24,-156.10340881347656
1608530412.4115243,25,-151.66188049316406
1608530425.9344077,26,-137.6718292236328
1608530439.8471262,27,-156.88140869140625
1608530453.9093149,28,-149.4662322998047
1608530467.2789423,29,-169.72305297851562
1608530480.9468553,30,-147.44009399414062
1608530496.0318775,31,-184.18765258789062
1608530509.3707747,32,-154.27529907226562
1608530522.9376845,33,-156.9195556640625
1608530536.933572,34,-171.76907348632812
1608530550.7904136,35,-142.45547485351562
1608530564.5993173,36,-152.18304443359375
1608530578.6256719,37,-160.5343017578125
1608530591.4943752,38,-124.98139190673828
1608530604.8952153,39,-153.52601623535156
1608530619.7044787,40,-187.15733337402344
1608530634.1409078,41,-154.8691864013672
1608530647.4446695,42,-152.5988006591797
1608530661.280225,43,-162.6483154296875
1608530675.5087788,44,-174.56532287597656
1608530689.1900675,45,-157.4926300048828
1608530703.5682046,46,-190.84841918945312
1608530716.9833477,47,-149.16921997070312
1608530731.1589,48,-180.3514862060547
1608530744.5684698,49,-153.6662139892578
1608530758.207716,50,-144.97174072265625
1608530771.916753,51,-150.59890747070312
1608530785.2669804,52,-145.11993408203125
1608530800.3612006,53,-194.0233917236328
1608530814.1687007,54,-162.51332092285156
1608530828.7932754,55,-169.33328247070312
1608530841.7518868,56,-126.69905090332031
1608530854.695865,57,-136.2322540283203
1608530868.628268,58,-150.01736450195312
1608530882.3971057,59,-153.0157012939453
1608530895.923035,60,-155.8473358154297
1608530911.0446765,61,-173.85472106933594
1608530924.884405,62,-150.86390686035156
1608530939.4826343,63,-194.06251525878906
1608530954.2445786,64,-190.2955322265625
1608530968.061412,65,-149.40628051757812
1608530981.61445,66,-151.74838256835938
1608530995.0730596,67,-144.4402313232422
1608531008.708311,68,-152.01853942871094
1608531021.785265,69,-133.53213500976562
1608531035.6808486,70,-148.87347412109375
1608531049.2980995,71,-155.71253967285156
1608531061.5715759,72,-120.5047378540039
1608531076.2442482,73,-167.15997314453125
1608531090.2570815,74,-162.52125549316406
1608531104.2691395,75,-161.12808227539062
1608531118.1570606,76,-161.2491455078125
1608531131.237938,77,-134.28955078125
1608531145.0553021,78,-152.4462890625
1608531158.4140399,79,-145.53048706054688
1608531172.3522599,80,-170.8101806640625
1608531186.5161183,81,-133.95306396484375
1608531199.643497,82,-134.77593994140625
1608531212.789838,83,-150.15255737304688
1608531226.0320973,84,-130.17080688476562
1608531239.7723475,85,-146.72885131835938
1608531253.9265475,86,-168.97265625
1608531267.5932176,87,-141.61868286132812
1608531281.5644343,88,-159.69485473632812
1608531295.3592825,89,-158.7923126220703
1608531309.609882,90,-163.51734924316406
1608531322.9619002,91,-131.796630859375
1608531337.1092374,92,-148.15426635742188
1608531351.3829365,93,-171.56605529785156
1608531365.956478,94,-156.62188720703125
1608531379.8271372,95,-139.83912658691406
1608531394.5024495,96,-145.2762908935547
1608531409.07364,97,-161.7762908935547
1608531423.40533,98,-142.98046875
1608531437.5074534,99,-168.3834686279297
1608531453.1120355,100,-196.18707275390625
1608531470.4345675,101,-196.90782165527344
1608531486.0471883,102,-207.33497619628906
1608531500.2834241,103,-169.1156463623047
1608531515.5335367,104,-202.0823974609375
1608531530.9882154,105,-215.90054321289062
1608531546.5346074,106,-226.4609375
1608531562.3013988,107,-244.73143005371094
1608531577.3057861,108,-195.85446166992188
1608531593.3637853,109,-201.53213500976562
1608531611.014727,110,-213.14785766601562
1608531627.9367657,111,-207.65969848632812
1608531644.614056,112,-254.57211303710938
1608531661.465014,113,-227.8509521484375
1608531678.4846704,114,-191.2622833251953
1608531694.529011,115,-194.71217346191406
1608531710.2459655,116,-168.40658569335938
1608531725.247013,117,-156.0771026611328
1608531740.7532609,118,-161.72796630859375
1608531756.7385457,119,-185.50210571289062
1608531773.5474608,120,-158.688232421875
1608531792.8600802,121,-166.1070098876953
1608531807.7106795,122,-148.50965881347656
1608531821.9672215,123,-142.9257049560547
1608531836.0376484,124,-140.78173828125
1608531850.1814196,125,-147.70620727539062
1608531863.9970663,126,-145.43374633789062
1608531879.4652474,127,-186.12216186523438
1608531894.3893497,128,-174.9532470703125
1608531909.4271946,129,-167.68942260742188
1608531925.7461414,130,-193.20558166503906
1608531940.304662,131,-178.79876708984375
1608531955.7412753,132,-204.0361328125
1608531971.0841818,133,-200.9263916015625
1608531987.256179,134,-227.2164764404297
1608532003.0357273,135,-165.3345489501953
1608532020.8139396,136,-189.98281860351562
1608532035.6195495,137,-185.43785095214844
1608532049.6434205,138,-163.88739013671875
1608532063.7614028,139,-185.9286651611328
1608532078.3624396,140,-200.34283447265625
1608532093.244939,141,-176.69349670410156
1608532107.166684,142,-199.53121948242188
1608532121.7098405,143,-209.05484008789062
1608532136.5571263,144,-230.0803985595703
1608532151.275845,145,-217.4373779296875
1608532165.6758986,146,-202.94847106933594
1608532180.5435805,147,-204.06324768066406
1608532195.4782887,148,-222.30601501464844
1608532210.5598664,149,-227.7674560546875
1608532226.2829638,150,-253.7267608642578
1608532243.0050511,151,-234.07269287109375
1608532258.2724802,152,-221.2679901123047
1608532277.9735742,153,-230.64218139648438
1608532297.3402424,154,-204.4897918701172
1608532313.9128253,155,-231.63916015625
1608532330.153818,156,-257.4822082519531
1608532344.9385502,157,-204.32388305664062
1608532361.3593483,158,-249.6573486328125
1608532377.1871831,159,-198.9733428955078
1608532392.4817522,160,-209.30258178710938
1608532409.3538485,161,-213.49014282226562
1608532423.837588,162,-166.9936065673828
1608532439.9199204,163,-190.23617553710938
1608532455.421353,164,-195.4202880859375
1608532470.1988115,165,-180.75367736816406
1608532485.1548595,166,-191.95626831054688
1608532500.2978933,167,-193.69166564941406
1608532515.5958128,168,-182.3651580810547
1608532531.9541385,169,-180.64952087402344
1608532547.6473038,170,-195.6465606689453
1608532562.649219,171,-195.29779052734375
1608532578.854637,172,-192.2782440185547
1608532594.7837641,173,-202.91355895996094
1608532610.4903483,174,-211.60716247558594
1608532626.2197647,175,-188.2838592529297
1608532640.753641,176,-176.16094970703125
1608532655.689704,177,-191.15318298339844
1608532670.8243983,178,-188.01199340820312
1608532686.273855,179,-190.46546936035156
1608532702.2309825,180,-203.68707275390625
1608532719.2706609,181,-187.6614227294922
1608532734.3957055,182,-195.9309844970703
1608532749.7007878,183,-199.06700134277344
1608532765.533021,184,-209.3668212890625
1608532781.047083,185,-190.92185974121094
1608532795.7900314,186,-182.33163452148438
1608532811.2153373,187,-180.4931182861328
1608532826.4960418,188,-174.66604614257812
1608532841.8978434,189,-193.43560791015625
1608532858.0414972,190,-215.56436157226562
1608532872.3698237,191,-156.41915893554688
1608532887.6350615,192,-183.73744201660156
