Wall time,Step,Value
1608451465.8209789,1,-180.88230895996094
1608451483.0015416,2,-193.98817443847656
1608451498.6981895,3,-179.8963165283203
1608451514.5370362,4,-173.0973663330078
1608451529.6598065,5,-186.07492065429688
1608451545.6577039,6,-184.07394409179688
1608451561.430922,7,-202.3470001220703
1608451577.0965507,8,-188.24232482910156
1608451592.8804328,9,-209.47634887695312
1608451608.033527,10,-167.81642150878906
1608451623.7514737,11,-168.42068481445312
1608451639.2824132,12,-152.02496337890625
1608451655.1137288,13,-181.27609252929688
1608451670.5622556,14,-164.7029571533203
1608451685.457588,15,-130.8098602294922
1608451700.912788,16,-155.28866577148438
1608451716.4179153,17,-145.33059692382812
1608451732.4227152,18,-155.73118591308594
1608451748.2306306,19,-159.90655517578125
1608451762.9081948,20,-141.74700927734375
1608451779.0024462,21,-137.7989044189453
1608451794.105425,22,-140.94700622558594
1608451809.835228,23,-164.58010864257812
1608451825.4531074,24,-164.72239685058594
1608451840.6315649,25,-145.73255920410156
1608451856.0578024,26,-140.3719024658203
1608451871.9808717,27,-157.8296661376953
1608451887.431275,28,-152.59872436523438
1608451902.6616704,29,-132.15769958496094
1608451918.0254211,30,-141.46914672851562
1608451934.4847937,31,-156.24461364746094
1608451949.7345195,32,-146.6234588623047
1608451966.2276824,33,-168.63278198242188
1608451982.0968776,34,-161.18870544433594
1608451998.0226579,35,-138.1102294921875
1608452012.260854,36,-118.53851318359375
1608452027.4505906,37,-146.7437744140625
1608452042.4847453,38,-126.78311920166016
1608452057.9105113,39,-121.58316040039062
1608452074.6315658,40,-138.82766723632812
1608452093.3414178,41,-141.38580322265625
1608452111.3823733,42,-166.2740478515625
1608452127.8331587,43,-126.7892074584961
1608452144.9018178,44,-139.1781005859375
1608452159.9322526,45,-103.88522338867188
1608452176.6202857,46,-124.37895202636719
1608452192.3297431,47,-120.53394317626953
1608452208.5147007,48,-121.9926986694336
1608452225.9994545,49,-155.34878540039062
1608452242.3432121,50,-113.5591049194336
1608452259.1558433,51,-141.49722290039062
1608452275.1958637,52,-144.89451599121094
1608452292.4603283,53,-144.95555114746094
1608452309.7729328,54,-133.9406280517578
1608452327.2649968,55,-145.13475036621094
1608452345.8969116,56,-169.76194763183594
1608452363.3296943,57,-142.84632873535156
1608452378.3480291,58,-113.45814514160156
1608452394.5649898,59,-129.2406005859375
1608452411.2019482,60,-144.00181579589844
1608452428.6530733,61,-135.5428009033203
1608452446.7028878,62,-145.5019073486328
1608452465.9616911,63,-152.57345581054688
1608452482.0044503,64,-117.73809051513672
1608452498.18873,65,-107.451416015625
1608452514.6269028,66,-117.18795013427734
1608452531.3627164,67,-116.36225128173828
1608452547.4765468,68,-91.23172760009766
1608452565.1998158,69,-115.07525634765625
1608452581.5975313,70,-96.88676452636719
1608452598.3133674,71,-101.50669860839844
1608452615.1862442,72,-109.2882308959961
1608452633.413729,73,-136.87179565429688
1608452650.9174464,74,-113.64366149902344
1608452666.2092168,75,-82.77679443359375
1608452683.8676877,76,-131.60162353515625
1608452699.0671687,77,-87.61519622802734
1608452715.3494134,78,-116.53309631347656
1608452731.006324,79,-112.49571228027344
1608452747.1024075,80,-113.44148254394531
1608452762.7401044,81,-78.04208374023438
1608452777.801905,82,-95.837646484375
1608452791.5638168,83,-80.51254272460938
1608452805.4462633,84,-77.93189239501953
1608452820.7880888,85,-111.25977325439453
1608452836.8152087,86,-110.18373107910156
1608452852.4003332,87,-109.80450439453125
1608452867.3241014,88,-93.62926483154297
1608452882.627635,89,-109.05522155761719
1608452898.425734,90,-108.52984619140625
1608452913.1938522,91,-94.26264190673828
1608452928.0854173,92,-101.0194091796875
1608452942.9979541,93,-105.10773468017578
1608452957.756,94,-86.1511459350586
1608452972.4157434,95,-90.70980072021484
1608452987.220744,96,-92.72797393798828
1608453004.013673,97,-137.96815490722656
1608453018.9007592,98,-89.75260162353516
1608453032.5262525,99,-75.92108154296875
1608453046.7254932,100,-84.53672790527344
1608453061.2688153,101,-77.64217376708984
1608453074.9645944,102,-72.98912811279297
1608453089.0363119,103,-84.8034439086914
1608453103.2144663,104,-81.37031555175781
1608453116.7141237,105,-74.75975036621094
1608453131.5328987,106,-97.871337890625
1608453145.7873435,107,-95.288818359375
1608453158.8867528,108,-62.91339874267578
1608453173.228702,109,-74.31485748291016
1608453187.6755302,110,-80.58868408203125
1608453201.2378988,111,-63.01068115234375
1608453214.521023,112,-53.93310546875
1608453228.084326,113,-65.66368865966797
1608453240.9777687,114,-63.80487823486328
1608453253.8228643,115,-59.750770568847656
1608453267.2437296,116,-75.68226623535156
1608453280.1060588,117,-59.6524772644043
1608453293.3268688,118,-65.7068862915039
1608453306.0036457,119,-58.83258056640625
1608453318.7135634,120,-65.86148071289062
1608453332.9726677,121,-59.23402404785156
1608453345.552111,122,-50.518062591552734
1608453357.957444,123,-52.24134063720703
1608453370.477211,124,-58.59682083129883
1608453382.4825373,125,-49.23540115356445
1608453394.8483505,126,-61.671573638916016
1608453406.82233,127,-52.98727798461914
1608453419.2803388,128,-60.541648864746094
1608453431.4464366,129,-49.527381896972656
1608453443.7590458,130,-54.045745849609375
1608453456.028567,131,-48.19147872924805
1608453467.5055475,132,-37.34812927246094
1608453478.8365223,133,-40.935394287109375
1608453490.9078681,134,-53.48643112182617
1608453502.915393,135,-47.65995788574219
1608453514.1605878,136,-36.46870422363281
1608453525.7901297,137,-37.88648223876953
1608453536.9942844,138,-38.435489654541016
1608453548.7676725,139,-44.723018646240234
1608453560.7319448,140,-42.17717361450195
1608453573.2761753,141,-36.87606430053711
1608453584.725563,142,-36.80466842651367
1608453595.7118182,143,-38.653953552246094
1608453607.124381,144,-41.46731948852539
1608453618.6598964,145,-37.876991271972656
1608453630.29811,146,-36.91904067993164
1608453642.2013433,147,-37.488643646240234
1608453653.8518047,148,-36.46390914916992
1608453665.2350762,149,-40.06171417236328
1608453676.3571973,150,-34.72605514526367
1608453687.5583513,151,-34.808902740478516
1608453698.7288787,152,-35.39887619018555
1608453709.6293235,153,-29.800325393676758
1608453720.8398638,154,-37.75388717651367
