Wall time,Step,Value
1590128820.1259918,6,-269.7687072753906
1590129016.6886604,19,-222.29666137695312
1590129106.7038531,25,-217.27005004882812
1590129393.5112891,41,-170.2651824951172
1590129425.7616775,43,-194.1788787841797
1590129470.9192185,46,-150.8135528564453
1590129633.5222547,54,-194.97067260742188
1590129677.2046957,57,-210.79576110839844
1590129904.064232,72,-217.44688415527344
1590129949.4082787,75,-211.19912719726562
1590130313.182713,95,-281.3613586425781
1590130492.7322397,103,-257.9665832519531
1590130555.3141346,107,-259.5541687011719
1590130908.1728585,127,-219.3241729736328
1590131112.9313798,140,-270.09783935546875
1590131334.5153453,151,-250.0963592529297
1590131408.6407366,156,-274.0043640136719
1590131453.2047343,159,-262.0065002441406
1590131595.1685052,168,-267.9991455078125
1590131804.2384827,179,-247.71121215820312
1590131881.2655053,184,-265.71392822265625
1590131912.1859684,186,-264.8372802734375
1590131928.1227663,187,-258.2081604003906
1590131991.8582242,191,-273.32879638671875
1590132119.244701,199,-263.0267333984375
1590132310.6664176,208,-257.3744812011719
1590132387.930962,213,-260.4659118652344
1590132559.65361,224,-221.85430908203125
1590132695.1196263,230,-235.33741760253906
1590132768.9920557,235,-218.77943420410156
1590132988.554074,250,-266.13690185546875
1590133117.7037058,256,-247.4020233154297
1590133190.3692198,261,-259.5658264160156
1590133291.9364786,268,-253.81036376953125
1590133349.4512253,272,-247.6702423095703
1590133378.3908584,274,-251.73902893066406
1590133696.2820358,293,-251.1952362060547
1590133768.3588426,298,-252.33482360839844
1590133897.5175185,304,-255.5010986328125
1590133970.589995,309,-255.89822387695312
1590133999.5724978,311,-285.0903625488281
1590134112.342172,319,-281.380615234375
1590134327.408283,331,-215.7989501953125
1590134450.783514,340,-217.48338317871094
1590134556.7430308,348,-225.6637420654297
1590134816.3834233,364,-237.2587432861328
1590134869.9563866,368,-205.14694213867188
1590135052.165851,378,-205.31414794921875
1590135691.9912546,422,-212.29637145996094
1590135706.6906064,423,-226.6275177001953
1590135987.2066154,440,-236.93423461914062
1590136015.9459486,442,-251.44537353515625
1590136030.0915613,443,-239.89315795898438
1590136073.5660627,446,-250.25477600097656
1590136332.8093905,461,-241.43006896972656
1590136377.2457566,464,-230.56655883789062
1590136391.1816008,465,-188.33419799804688
1590136535.3471618,475,-213.92234802246094
1590136811.7701657,492,-194.2262725830078
1590136841.7241807,494,-188.82696533203125
1590137151.1638615,513,-202.49417114257812
1590137180.0796633,515,-217.3225555419922
1590137223.044046,518,-193.09176635742188
1590137376.5379834,526,-204.4081573486328
1590137460.015446,532,-231.72076416015625
1590137488.2267663,534,-239.2762451171875
1590137530.1419778,537,-210.3716278076172
1590137615.3862786,543,-223.02264404296875
1590137689.1519413,548,-200.68463134765625
1590137879.510262,558,-160.5038299560547
1590137968.1053874,564,-212.861083984375
1590138058.4341352,570,-215.80516052246094
1590138118.5983577,574,-189.1339111328125
1590138255.5191302,580,-191.66146850585938
1590138286.6658857,582,-212.97837829589844
1590138332.6131675,585,-212.19036865234375
